City_ID,City,country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Puerto Cabezas,NI,76.24,light rain,14.04,-83.39,Hotel Caribe
456,Solnechnyy,RU,72.28,scattered clouds,50.72,136.63,Hotel complex Pastoral
457,Bartica,GY,77.0,few clouds,6.4,-58.62,La Vista Hotel and Apartment
458,Saint-Francois,FR,82.99,clear sky,46.42,3.91,Manoir Du Bonheur
459,Omboue,GA,76.64,overcast clouds,-1.57,9.26,Hotel Olako
460,Jega,NG,78.8,overcast clouds,12.22,4.38,Jega Guest Inn
462,Wana,PK,80.22,light rain,32.3,69.57,Rest House at Wana Camp
464,Xiaoweizhai,CN,73.51,overcast clouds,26.19,107.51,Karst Youth Hostel
465,Cabatuan,PH,83.73,light rain,10.88,122.49,Tobias Hime
470,Biak,ID,82.26,clear sky,-0.91,122.88,Kost Ariz
476,Yanam,IN,84.2,scattered clouds,16.73,82.22,The Regency Hotel
477,Dennery,LC,78.8,few clouds,13.9,-60.89,The Fox Grove Inn
478,Saint-Pierre,RE,78.8,few clouds,-21.34,55.48,Lindsey Hôtel
479,Corinto,GR,86.0,clear sky,37.94,22.96,Ephira Hotel
480,Wajir,KE,82.4,broken clouds,1.75,40.06,Al- Amin lodge
481,Quelimane,MZ,75.2,broken clouds,-17.88,36.89,Hotel Flamingo
482,Witu,KE,83.57,few clouds,-2.39,40.44,New City Guest House
483,Mitzic,GA,72.41,overcast clouds,0.78,11.55,HOTEL NGUE
484,Lhokseumawe,ID,86.02,light rain,5.18,97.15,OYO 3278 Penginapan Alfajri
485,Hollola,FI,71.01,clear sky,61.05,25.43,Villa Aleksi
486,Saint-Georges,GD,80.6,scattered clouds,12.06,-61.75,Siesta Hotel
488,Mocuba,MZ,81.1,few clouds,-16.84,36.99,Phama Lodge
489,Yorosso,ML,76.66,overcast clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
490,Bairiki,KI,84.2,few clouds,1.33,172.98,Tarawa Boutique Hotel
491,Zhezkazgan,KZ,77.0,clear sky,47.8,67.71,Kvartiry Posutochno.
492,Isabela,PH,86.0,scattered clouds,6.71,121.97,Isawad Resort
494,Tanout,NE,81.86,overcast clouds,14.97,8.89,
495,Kupang,ID,86.0,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
497,Alappuzha,IN,82.72,overcast clouds,9.49,76.33,Panoramic Sea Resort
499,San Carlos,VE,73.13,clear sky,9.66,-68.58,Hotel Paternopoli
500,Asmara,ER,73.87,few clouds,15.33,38.93,Hamasien Hotel
504,Manggar,ID,84.4,clear sky,-2.88,108.27,Guest Hotel
509,Yarada,IN,89.6,scattered clouds,17.65,83.27,"D-26/2, Dolphin Hill,"
511,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
513,Los Llanos De Aridane,ES,73.99,few clouds,28.66,-17.92,Valle Aridane
514,Bertoua,CM,70.88,light rain,4.58,13.68,PHENIX HOTEL
518,Luganville,VU,79.32,light rain,-15.53,167.17,The Espiritu Hotel
519,Road Town,VG,82.99,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
520,Bonthe,SL,77.31,light rain,7.53,-12.51,Bonthe Holiday Village
522,Nhulunbuy,AU,82.4,clear sky,-12.23,136.77,East Arnhem Real Estate
523,Acarau,BR,74.19,broken clouds,-2.89,-40.12,castelo pizzaria
525,Mudon,MM,82.09,moderate rain,16.26,97.72,Motel Mudon
527,San Fernando,PH,84.2,light rain,15.03,120.69,Maharlika Hostel
530,Yoichi,JP,72.0,broken clouds,43.2,140.77,Marumatta Farm 21
532,Alyangula,AU,84.2,clear sky,-13.85,136.42,Groote Eylandt Lodge
533,Sarangani,PH,84.7,clear sky,5.4,125.46,Ballistic Islet
534,Vangaindrano,MG,76.23,few clouds,-23.35,47.6,Hotel Fanilo
536,Benguela,AO,73.62,overcast clouds,-12.58,13.41,Hotel Praia Morena
537,Shelbyville,US,70.0,clear sky,35.48,-86.46,Best Western Shelbyville Inn and Suites Celebration Inn
541,Kindu,CD,87.51,clear sky,-2.95,25.95,Hotel Karibu
544,Cockburn Town,TC,82.96,clear sky,21.46,-71.14,Osprey Beach Hotel
547,Beruwala,LK,84.61,clear sky,6.48,79.98,"Occidental Eden Beruwala, a member of Barceló Hotel Group"
550,Caraballeda,VE,72.0,few clouds,10.61,-66.85,Hotel 15 Letras
552,Maumere,ID,82.54,clear sky,-8.62,122.21,Sylvia Hotel
554,Toyooka,JP,80.6,broken clouds,35.53,134.83,O Hotel Toyooka
558,Hami,CN,87.93,overcast clouds,42.8,93.45,Laoyutang Resort
559,Hobyo,SO,82.83,overcast clouds,5.35,48.53,Osmani Hotel
561,Tianpeng,CN,88.0,light rain,30.99,103.94,Shuangliu Love Home Business Hotel
562,Porto Novo,BJ,77.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
567,Zhob,PK,81.3,overcast clouds,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
568,Micheweni,TZ,76.35,light rain,-4.97,39.83,
569,Muroto,JP,89.6,shower rain,33.28,134.15,Oota Ryokan
570,Rila,BG,77.0,clear sky,42.13,23.13,Кентавър Хотел
571,Krasnoturansk,RU,77.0,broken clouds,54.32,91.56,Sotsial'naya Gostinitsa
572,Vidim,RU,75.97,overcast clouds,56.41,103.11,
573,Kosonsoy,UZ,86.0,few clouds,41.26,71.55,"Гостиница ""Goldstar'"
578,Grand Gaube,MU,78.01,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
579,Altay,CN,80.85,broken clouds,47.87,88.12,Jinqiao Hotel
581,Mogzon,RU,73.45,overcast clouds,51.74,111.96,
582,Boa Vista,BR,80.6,clear sky,2.82,-60.67,Aipana Plaza Hotel
583,Glendive,US,72.0,light rain,47.11,-104.71,Super 8 by Wyndham Glendive
584,Darhan,MN,74.35,overcast clouds,49.49,105.92,Buudai Hotel
585,Oussouye,SN,77.0,moderate rain,12.48,-16.55,Auberge du Routard
586,Vanimo,PG,83.05,clear sky,-2.67,141.3,Vahmoneh Lodge Vanimo
589,Shubarshi,KZ,71.04,scattered clouds,48.59,57.19,
590,Pascagoula,US,75.2,clear sky,30.37,-88.56,Regency Inn
594,Nuevitas,CU,75.2,overcast clouds,21.55,-77.26,Hotel Caonaba
596,Dwarka,IN,86.02,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
597,Aksu,CN,87.3,clear sky,41.12,80.26,Pudong Holiday Hotel
599,Golden,US,70.0,scattered clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
600,Puri,IN,87.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
601,Sidi Ali,DZ,77.32,clear sky,36.1,0.42,
602,Mount Pleasant,US,77.0,mist,32.79,-79.86,Best Western Patriots Point
603,Valle Hermoso,MX,82.4,clear sky,25.67,-97.83,MAQUINARIA Y TRANSPORTE DE CARGA
605,Palmas,BR,71.6,clear sky,-10.21,-48.36,Hotel Lago da Palma
606,Vila Do Maio,CV,78.8,broken clouds,15.13,-23.22,Residence 'I Delfini'
607,Valreas,FR,82.99,clear sky,44.38,4.99,Maison d'Anvers
610,Aripuana,BR,72.48,clear sky,-9.17,-60.63,
612,Benjamin Constant,BR,77.0,light rain,-4.38,-70.03,CASA AVALIADA
615,Kalabo,ZM,76.6,few clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
616,Sibiti,CG,70.79,overcast clouds,-3.68,13.35,Hotel Mapila 1
617,Mahibadhoo,MV,83.61,overcast clouds,3.78,72.97,Omadhoo Inn
618,Denpasar,ID,84.2,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
623,Atasu,KZ,71.46,overcast clouds,48.68,71.64,Dostyk
624,Taldan,RU,73.33,overcast clouds,53.67,124.8,
626,Bimbo,CF,75.2,scattered clouds,4.26,18.42,
630,Sao Mateus,BR,70.02,moderate rain,-18.72,-39.86,Hotel Rio Norte
632,Yumen,CN,83.17,broken clouds,40.28,97.2,
633,Avera,US,71.6,haze,33.19,-82.53,
634,Orhei,MD,80.6,scattered clouds,47.38,28.82,Chateau Vartely
635,Conner,PH,81.61,moderate rain,17.8,121.33,
638,Linqing,CN,79.56,clear sky,36.85,115.71,Dongfang Hotel
639,Calolbon,PH,86.34,overcast clouds,13.6,124.1,THREE STRAND INN (Travellers Inn)
640,Marawi,PH,84.0,light rain,8.0,124.29,Salihmaruhom
641,Gunjur,GM,75.2,broken clouds,13.2,-16.73,Kuba Lodge
642,Puerto Carreno,CO,75.27,moderate rain,6.19,-67.49,Casa Hotel Victoria
644,Rock Sound,BS,82.36,overcast clouds,24.9,-76.2,Rock Sound Club
645,Ambon,ID,82.99,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
648,Zeya,RU,75.67,overcast clouds,53.75,127.27,Kapital Inn
652,West Wendover,US,78.8,haze,40.74,-114.07,"Motel 6 Wendover, UT"
653,Socorro,US,87.01,few clouds,31.65,-106.3,guarderia imss papalote
654,Gallup,US,73.99,clear sky,35.53,-108.74,El Capitan Motel
657,Hirara,JP,84.2,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
658,Camaguey,CU,75.2,overcast clouds,21.38,-77.92,Tararaco
660,Simao,CN,77.02,moderate rain,22.79,100.97,Changyu Hotel
663,Aden,YE,87.17,broken clouds,12.78,45.04,Sama Emirate Hotel
667,Cayenne,GF,75.2,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
668,Vila Velha,BR,71.6,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
670,Pringsewu,ID,87.4,few clouds,-5.36,104.97,Urban Style by Front One
671,Lincoln,US,71.01,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
672,Singaraja,ID,84.06,clear sky,-8.11,115.09,Puri Bagus Lovina Resort
